<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
17.12.2020;0;3751.0000000;3758.0000000;3660.0000000;3680.0000000;3692
18.12.2020;0;3660.0000000;3730.0000000;3477.0000000;3497.0000000;18584
21.12.2020;0;3500.0000000;3563.0000000;3403.0000000;3449.0000000;34396
22.12.2020;0;3459.0000000;3540.0000000;3458.0000000;3498.0000000;17358
23.12.2020;0;3515.0000000;3532.0000000;3455.0000000;3507.0000000;8686
24.12.2020;0;3502.0000000;3539.0000000;3440.0000000;3482.0000000;9762
28.12.2020;0;3450.0000000;3520.0000000;3450.0000000;3468.0000000;12583
29.12.2020;0;3478.0000000;3748.0000000;3450.0000000;3664.0000000;29495
30.12.2020;0;3600.0000000;3684.0000000;3590.0000000;3629.0000000;13646
04.01.2021;0;3684.0000000;3780.0000000;3635.0000000;3697.0000000;12701
05.01.2021;0;3672.0000000;3752.0000000;3672.0000000;3738.0000000;7313
06.01.2021;0;3738.0000000;3848.0000000;3636.0000000;3787.0000000;19326
08.01.2021;0;3828.0000000;3895.0000000;3800.0000000;3829.0000000;9468
11.01.2021;0;3807.0000000;3910.0000000;3807.0000000;3853.0000000;8829
12.01.2021;0;3884.0000000;3962.0000000;3825.0000000;3922.0000000;9696
13.01.2021;0;3873.0000000;4470.0000000;3873.0000000;4225.0000000;45348
14.01.2021;0;4052.0000000;4395.0000000;4052.0000000;4339.0000000;11517
15.01.2021;0;4300.0000000;4382.0000000;4251.0000000;4261.0000000;5608
19.01.2021;0;4261.0000000;4290.0000000;4152.0000000;4277.0000000;3986
20.01.2021;0;4269.0000000;4347.0000000;4268.0000000;4315.0000000;3886
21.01.2021;0;4341.0000000;4638.0000000;4295.0000000;4599.0000000;19397
22.01.2021;0;4405.0000000;4504.0000000;4270.0000000;4286.0000000;30946
25.01.2021;0;4287.0000000;4306.0000000;4101.0000000;4158.0000000;23276
26.01.2021;0;4190.0000000;4218.0000000;4122.0000000;4144.0000000;8459
27.01.2021;0;4140.0000000;4184.0000000;4045.0000000;4065.0000000;10833
28.01.2021;0;4070.0000000;4358.0000000;4000.0000000;4271.0000000;19864
