<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
09.10.2020;0;43123.0000000;43123.0000000;41970.0000000;42342.0000000;595
13.10.2020;0;43500.0000000;44635.0000000;43335.0000000;43845.0000000;1215
14.10.2020;0;44894.0000000;44900.0000000;43444.0000000;43805.0000000;634
15.10.2020;0;43510.0000000;43801.0000000;42499.0000000;43600.0000000;833
16.10.2020;0;43707.0000000;44055.0000000;42974.0000000;43000.0000000;730
19.10.2020;0;43798.0000000;43798.0000000;41799.0000000;42167.0000000;722
20.10.2020;0;42600.0000000;42684.0000000;41900.0000000;42150.0000000;312
21.10.2020;0;42179.0000000;42223.0000000;41500.0000000;41584.0000000;460
22.10.2020;0;40714.0000000;41696.0000000;40509.0000000;41012.0000000;622
23.10.2020;0;41008.0000000;41399.0000000;40711.0000000;41399.0000000;289
26.10.2020;0;41288.0000000;41548.0000000;39950.0000000;40195.0000000;354
27.10.2020;0;40166.0000000;41500.0000000;40099.0000000;41500.0000000;408
28.10.2020;0;41500.0000000;41621.0000000;40000.0000000;40214.0000000;558
29.10.2020;0;40337.0000000;41512.0000000;40015.0000000;40710.0000000;966
30.10.2020;0;40592.0000000;40786.0000000;39150.0000000;39910.0000000;819
02.11.2020;0;40093.0000000;41317.0000000;39915.0000000;40356.0000000;846
03.11.2020;0;40717.0000000;41500.0000000;40045.0000000;41461.0000000;414
05.11.2020;0;43050.0000000;44250.0000000;43050.0000000;43560.0000000;1881
06.11.2020;0;43057.0000000;45141.0000000;42660.0000000;45118.0000000;2112
09.11.2020;0;44501.0000000;46131.0000000;42111.0000000;42155.0000000;2201
10.11.2020;0;41969.0000000;42200.0000000;38816.0000000;39100.0000000;4415
11.11.2020;0;39103.0000000;41183.0000000;38891.0000000;41174.0000000;2596
12.11.2020;0;41622.0000000;42855.0000000;40650.0000000;41522.0000000;1654
13.11.2020;0;41802.0000000;42360.0000000;40489.0000000;41044.0000000;1678
16.11.2020;0;41251.0000000;41760.0000000;40209.0000000;40900.0000000;1909
17.11.2020;0;41424.0000000;41500.0000000;40663.0000000;40816.0000000;766
18.11.2020;0;40996.0000000;41351.0000000;40157.0000000;40933.0000000;974
19.11.2020;0;40250.0000000;41060.0000000;40106.0000000;40841.0000000;1902
20.11.2020;0;40841.0000000;41100.0000000;39950.0000000;40100.0000000;933
23.11.2020;0;40144.0000000;40622.0000000;39870.0000000;40030.0000000;2155
24.11.2020;0;40297.0000000;40297.0000000;38999.0000000;38999.0000000;2140
25.11.2020;0;39222.0000000;40130.0000000;39050.0000000;39990.0000000;839
27.11.2020;0;40159.0000000;40768.0000000;40051.0000000;40357.0000000;997
30.11.2020;0;40499.0000000;40800.0000000;39757.0000000;40712.0000000;1205
01.12.2020;0;41005.0000000;41184.0000000;40100.0000000;40627.0000000;1099
02.12.2020;0;40501.0000000;41117.0000000;40008.0000000;40683.0000000;833
03.12.2020;0;40800.0000000;41000.0000000;39756.0000000;39942.0000000;1094
04.12.2020;0;39901.0000000;40115.0000000;39750.0000000;39936.0000000;511
07.12.2020;0;40130.0000000;40400.0000000;39739.0000000;39910.0000000;563
08.12.2020;0;39997.0000000;40094.0000000;39027.0000000;39399.0000000;693
09.12.2020;0;39397.0000000;39600.0000000;38018.0000000;38213.0000000;2133
10.12.2020;0;38209.0000000;38416.0000000;37425.0000000;38047.0000000;1288
11.12.2020;0;38047.0000000;38187.0000000;37550.0000000;37925.0000000;466
14.12.2020;0;37990.0000000;39537.0000000;37853.0000000;39335.0000000;992
15.12.2020;0;39127.0000000;39702.0000000;38794.0000000;39026.0000000;506
16.12.2020;0;39230.0000000;39502.0000000;38800.0000000;38976.0000000;291
17.12.2020;0;38811.0000000;39800.0000000;38478.0000000;38765.0000000;569
18.12.2020;0;39000.0000000;39420.0000000;38400.0000000;38574.0000000;617
21.12.2020;0;39080.0000000;39900.0000000;38979.0000000;39800.0000000;1040
22.12.2020;0;39882.0000000;40290.0000000;39617.0000000;40213.0000000;984
23.12.2020;0;40210.0000000;40210.0000000;39166.0000000;39304.0000000;610
