<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
02.12.2020;0;11350.0000000;11565.0000000;11240.0000000;11547.0000000;295
03.12.2020;0;11597.0000000;11597.0000000;11394.0000000;11447.0000000;181
04.12.2020;0;11479.0000000;11479.0000000;11325.0000000;11387.0000000;376
07.12.2020;0;11431.0000000;11432.0000000;11230.0000000;11280.0000000;214
08.12.2020;0;11333.0000000;11356.0000000;11176.0000000;11291.0000000;95
09.12.2020;0;11379.0000000;11554.0000000;11352.0000000;11412.0000000;387
10.12.2020;0;11379.0000000;11487.0000000;11211.0000000;11270.0000000;806
11.12.2020;0;12066.0000000;13100.0000000;11659.0000000;12845.0000000;9615
14.12.2020;0;12845.0000000;12986.0000000;12478.0000000;12478.0000000;2390
15.12.2020;0;12449.0000000;12796.0000000;12374.0000000;12762.0000000;1076
16.12.2020;0;12772.0000000;12905.0000000;12675.0000000;12745.0000000;624
17.12.2020;0;12738.0000000;12747.0000000;12568.0000000;12610.0000000;180
18.12.2020;0;12733.0000000;12900.0000000;12676.0000000;12676.0000000;114
21.12.2020;0;12676.0000000;12933.0000000;12457.0000000;12796.0000000;2134
22.12.2020;0;12809.0000000;12952.0000000;12779.0000000;12952.0000000;313
23.12.2020;0;12928.0000000;13245.0000000;12850.0000000;13068.0000000;577
24.12.2020;0;12951.0000000;13137.0000000;12766.0000000;12880.0000000;725
28.12.2020;0;12880.0000000;13259.0000000;12824.0000000;13233.0000000;556
29.12.2020;0;13233.0000000;13318.0000000;13071.0000000;13106.0000000;282
30.12.2020;0;13048.0000000;13685.0000000;13048.0000000;13480.0000000;547
04.01.2021;0;14407.0000000;14407.0000000;12906.0000000;13200.0000000;764
05.01.2021;0;13267.0000000;13400.0000000;13189.0000000;13249.0000000;570
06.01.2021;0;13141.0000000;13428.0000000;13067.0000000;13248.0000000;368
08.01.2021;0;13246.0000000;13392.0000000;13150.0000000;13288.0000000;500
11.01.2021;0;13350.0000000;13555.0000000;13278.0000000;13350.0000000;332
12.01.2021;0;13378.0000000;13388.0000000;12885.0000000;12885.0000000;835
13.01.2021;0;12993.0000000;13091.0000000;12850.0000000;13005.0000000;369
14.01.2021;0;12995.0000000;13097.0000000;12772.0000000;12772.0000000;306
15.01.2021;0;12784.0000000;12849.0000000;12541.0000000;12630.0000000;560
19.01.2021;0;12630.0000000;12804.0000000;12629.0000000;12663.0000000;807
20.01.2021;0;12865.0000000;13084.0000000;12770.0000000;12785.0000000;1106
21.01.2021;0;12799.0000000;12895.0000000;12402.0000000;12700.0000000;597
22.01.2021;0;12814.0000000;13110.0000000;12711.0000000;13042.0000000;1294
25.01.2021;0;13042.0000000;13100.0000000;12840.0000000;12912.0000000;1183
26.01.2021;0;12923.0000000;13000.0000000;12718.0000000;12747.0000000;365
27.01.2021;0;12690.0000000;12777.0000000;12190.0000000;12317.0000000;2050
28.01.2021;0;12883.0000000;13112.0000000;12175.0000000;13112.0000000;2318
29.01.2021;0;12943.0000000;13029.0000000;12578.0000000;12736.0000000;340
01.02.2021;0;12736.0000000;13045.0000000;12736.0000000;13032.0000000;512
02.02.2021;0;13005.0000000;13580.0000000;13005.0000000;13502.0000000;1197
03.02.2021;0;13573.0000000;13644.0000000;13402.0000000;13410.0000000;405
04.02.2021;0;13466.0000000;13689.0000000;13322.0000000;13600.0000000;312
05.02.2021;0;13552.0000000;13613.0000000;13400.0000000;13479.0000000;282
08.02.2021;0;14393.0000000;14393.0000000;13604.0000000;14065.0000000;1371
09.02.2021;0;14136.0000000;14261.0000000;13812.0000000;13930.0000000;469
10.02.2021;0;14033.0000000;14036.0000000;13757.0000000;14027.0000000;503
11.02.2021;0;14040.0000000;14136.0000000;13851.0000000;14065.0000000;739
12.02.2021;0;14304.0000000;14480.0000000;13810.0000000;13871.0000000;2203
16.02.2021;0;14170.0000000;14170.0000000;13629.0000000;13695.0000000;1952
17.02.2021;0;13997.0000000;13997.0000000;13519.0000000;13758.0000000;770
18.02.2021;0;13695.0000000;13756.0000000;13537.0000000;13572.0000000;1928
19.02.2021;0;13484.0000000;13644.0000000;13483.0000000;13600.0000000;234
22.02.2021;0;13629.0000000;14393.0000000;13418.0000000;14249.0000000;1098
24.02.2021;0;14527.0000000;14770.0000000;14433.0000000;14600.0000000;899
25.02.2021;0;14600.0000000;14612.0000000;14200.0000000;14269.0000000;1451
26.02.2021;0;14033.0000000;14319.0000000;13900.0000000;14206.0000000;1360
01.03.2021;0;14206.0000000;14535.0000000;14200.0000000;14480.0000000;237
02.03.2021;0;14563.0000000;14627.0000000;14314.0000000;14326.0000000;716
03.03.2021;0;14403.0000000;14500.0000000;14269.0000000;14269.0000000;281
04.03.2021;0;14221.0000000;14221.0000000;13654.0000000;13931.0000000;1315
05.03.2021;0;13857.0000000;14110.0000000;13692.0000000;14070.0000000;463
09.03.2021;0;14399.0000000;14837.0000000;14399.0000000;14422.0000000;1489
10.03.2021;0;14492.0000000;14624.0000000;14362.0000000;14362.0000000;792
11.03.2021;0;14463.0000000;14565.0000000;14405.0000000;14415.0000000;160
12.03.2021;0;14532.0000000;14603.0000000;14356.0000000;14463.0000000;845
15.03.2021;0;14500.0000000;14584.0000000;14236.0000000;14312.0000000;720
16.03.2021;0;14326.0000000;14349.0000000;14059.0000000;14137.0000000;204
17.03.2021;0;14189.0000000;14499.0000000;14133.0000000;14400.0000000;938
18.03.2021;0;14399.0000000;14453.0000000;14200.0000000;14326.0000000;364
19.03.2021;0;14325.0000000;14380.0000000;14145.0000000;14193.0000000;588
22.03.2021;0;14183.0000000;14660.0000000;14176.0000000;14429.0000000;185
23.03.2021;0;14513.0000000;14669.0000000;14375.0000000;14382.0000000;358
24.03.2021;0;14381.0000000;14523.0000000;14120.0000000;14120.0000000;1515
25.03.2021;0;14499.0000000;14499.0000000;13741.0000000;14260.0000000;327
26.03.2021;0;14270.0000000;14321.0000000;13899.0000000;14042.0000000;1446
29.03.2021;0;13999.0000000;14100.0000000;13897.0000000;14023.0000000;680
30.03.2021;0;14023.0000000;14150.0000000;13977.0000000;14101.0000000;339
31.03.2021;0;14051.0000000;14075.0000000;13933.0000000;13973.0000000;309
01.04.2021;0;14000.0000000;14421.0000000;14000.0000000;14421.0000000;571
05.04.2021;0;14421.0000000;14620.0000000;14365.0000000;14395.0000000;710
06.04.2021;0;14450.0000000;14721.0000000;14400.0000000;14630.0000000;705
07.04.2021;0;14689.0000000;14820.0000000;14450.0000000;14465.0000000;224
08.04.2021;0;14502.0000000;14580.0000000;14292.0000000;14400.0000000;376
09.04.2021;0;14500.0000000;14600.0000000;14425.0000000;14540.0000000;316
12.04.2021;0;14516.0000000;14596.0000000;14359.0000000;14404.0000000;1177
13.04.2021;0;14404.0000000;14431.0000000;14069.0000000;14096.0000000;437
14.04.2021;0;14105.0000000;14411.0000000;14024.0000000;14241.0000000;1334
15.04.2021;0;14517.0000000;14615.0000000;14188.0000000;14259.0000000;710
16.04.2021;0;14080.0000000;14333.0000000;14019.0000000;14185.0000000;676
19.04.2021;0;14229.0000000;14531.0000000;14199.0000000;14262.0000000;642
20.04.2021;0;14262.0000000;14430.0000000;13930.0000000;13930.0000000;1690
21.04.2021;0;13966.0000000;14111.0000000;13790.0000000;14020.0000000;228
22.04.2021;0;14000.0000000;14085.0000000;13720.0000000;13795.0000000;899
23.04.2021;0;13807.0000000;13807.0000000;13642.0000000;13722.0000000;276
26.04.2021;0;13700.0000000;13900.0000000;13645.0000000;13800.0000000;386
27.04.2021;0;13884.0000000;13892.0000000;13800.0000000;13859.0000000;186
28.04.2021;0;13876.0000000;13876.0000000;13632.0000000;13632.0000000;383
29.04.2021;0;13726.0000000;13827.0000000;13650.0000000;13806.0000000;973
30.04.2021;0;13811.0000000;13980.0000000;13753.0000000;13978.0000000;388
04.05.2021;0;13980.0000000;13980.0000000;13700.0000000;13773.0000000;352
05.05.2021;0;13847.0000000;13847.0000000;13576.0000000;13576.0000000;114
