<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
26.01.2021;0;249280.0000000;250723.0000000;247121.0000000;250242.0000000;128
27.01.2021;0;252315.0000000;254230.0000000;243513.0000000;244647.0000000;343
28.01.2021;0;243940.0000000;250408.0000000;242791.0000000;246361.0000000;186
29.01.2021;0;245816.0000000;246021.0000000;241400.0000000;243000.0000000;137
01.02.2021;0;245979.0000000;254155.0000000;244093.0000000;254155.0000000;317
02.02.2021;0;254516.0000000;260200.0000000;254419.0000000;258013.0000000;573
03.02.2021;0;259218.0000000;263200.0000000;251998.0000000;251998.0000000;1140
04.02.2021;0;253745.0000000;254422.0000000;248041.0000000;250939.0000000;257
05.02.2021;0;250374.0000000;251620.0000000;246577.0000000;249574.0000000;156
08.02.2021;0;251202.0000000;251202.0000000;245742.0000000;246000.0000000;277
09.02.2021;0;245724.0000000;247000.0000000;244457.0000000;244457.0000000;201
10.02.2021;0;245207.0000000;245540.0000000;240850.0000000;242085.0000000;230
11.02.2021;0;241939.0000000;243047.0000000;239732.0000000;239913.0000000;111
12.02.2021;0;243396.0000000;243396.0000000;239000.0000000;240234.0000000;332
16.02.2021;0;241121.0000000;243659.0000000;240154.0000000;240650.0000000;158
17.02.2021;0;241817.0000000;244980.0000000;240244.0000000;244000.0000000;156
18.02.2021;0;243612.0000000;246500.0000000;241952.0000000;245967.0000000;182
19.02.2021;0;244921.0000000;246962.0000000;241031.0000000;241100.0000000;200
22.02.2021;0;242056.0000000;242056.0000000;236220.0000000;236500.0000000;488
24.02.2021;0;236800.0000000;236800.0000000;231000.0000000;231544.0000000;276
25.02.2021;0;241799.0000000;241799.0000000;228223.0000000;229500.0000000;272
26.02.2021;0;225279.0000000;232428.0000000;223912.0000000;232428.0000000;214
01.03.2021;0;236760.0000000;236760.0000000;229630.0000000;233453.0000000;148
02.03.2021;0;233987.0000000;233987.0000000;228950.0000000;228950.0000000;52
03.03.2021;0;230669.0000000;230669.0000000;222000.0000000;222949.0000000;230
04.03.2021;0;227767.0000000;227767.0000000;218000.0000000;222316.0000000;473
