<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
30.12.2020;0;9972.0000000;10171.0000000;9940.0000000;9962.0000000;13704
04.01.2021;0;9960.0000000;9977.0000000;9437.0000000;9613.0000000;14013
05.01.2021;0;9755.0000000;9800.0000000;9609.0000000;9715.0000000;8317
06.01.2021;0;9650.0000000;9696.0000000;9383.0000000;9410.0000000;22242
08.01.2021;0;9652.0000000;9860.0000000;9594.0000000;9787.0000000;15055
11.01.2021;0;9874.0000000;9874.0000000;9612.0000000;9633.0000000;8269
12.01.2021;0;9633.0000000;9668.0000000;9365.0000000;9494.0000000;5287
13.01.2021;0;9517.0000000;9698.0000000;9480.0000000;9661.0000000;6679
14.01.2021;0;9630.0000000;9682.0000000;9457.0000000;9457.0000000;5919
15.01.2021;0;9450.0000000;9570.0000000;9375.0000000;9388.0000000;3599
19.01.2021;0;9480.0000000;9534.0000000;9301.0000000;9420.0000000;5005
20.01.2021;0;9565.0000000;9739.0000000;9420.0000000;9730.0000000;7807
21.01.2021;0;9720.0000000;10132.0000000;9710.0000000;10132.0000000;15629
22.01.2021;0;10130.0000000;10520.0000000;9980.0000000;10508.0000000;17190
25.01.2021;0;10698.0000000;10982.0000000;10374.0000000;10748.0000000;23016
26.01.2021;0;10748.0000000;10855.0000000;10629.0000000;10755.0000000;8047
27.01.2021;0;10836.0000000;11000.0000000;10653.0000000;10725.0000000;18810
28.01.2021;0;10690.0000000;10831.0000000;10105.0000000;10488.0000000;25317
29.01.2021;0;10481.0000000;10639.0000000;9902.0000000;10073.0000000;16787
01.02.2021;0;10135.0000000;10300.0000000;9995.0000000;10253.0000000;11274
02.02.2021;0;10206.0000000;10310.0000000;10200.0000000;10310.0000000;13355
03.02.2021;0;10310.0000000;10373.0000000;10160.0000000;10196.0000000;10523
04.02.2021;0;10300.0000000;10350.0000000;10170.0000000;10334.0000000;6751
05.02.2021;0;10350.0000000;10390.0000000;10154.0000000;10204.0000000;7584
08.02.2021;0;10250.0000000;10251.0000000;10048.0000000;10137.0000000;8845
