<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
07.05.2021;0;35913.0000000;36657.0000000;35913.0000000;35913.0000000;154
10.05.2021;0;35882.0000000;36190.0000000;35596.0000000;35665.0000000;79
11.05.2021;0;35080.0000000;35959.0000000;34784.0000000;35959.0000000;252
12.05.2021;0;35783.0000000;36019.0000000;35199.0000000;35209.0000000;204
13.05.2021;0;35057.0000000;35546.0000000;34995.0000000;35038.0000000;244
14.05.2021;0;35333.0000000;35910.0000000;35333.0000000;35910.0000000;224
17.05.2021;0;35850.0000000;35984.0000000;35507.0000000;35800.0000000;35
18.05.2021;0;35802.0000000;36017.0000000;35300.0000000;35300.0000000;14
19.05.2021;0;35080.0000000;35300.0000000;34763.0000000;35300.0000000;202
20.05.2021;0;35494.0000000;36311.0000000;35197.0000000;36253.0000000;286
21.05.2021;0;36349.0000000;36393.0000000;35951.0000000;35951.0000000;50
24.05.2021;0;35951.0000000;36744.0000000;35951.0000000;36610.0000000;64
25.05.2021;0;36800.0000000;37110.0000000;36662.0000000;37044.0000000;136
26.05.2021;0;37011.0000000;37460.0000000;37011.0000000;37215.0000000;80
27.05.2021;0;37043.0000000;37186.0000000;36639.0000000;36639.0000000;383
28.05.2021;0;36758.0000000;37352.0000000;36758.0000000;37108.0000000;239
01.06.2021;0;37141.0000000;37323.0000000;36360.0000000;36501.0000000;163
02.06.2021;0;36591.0000000;36750.0000000;36137.0000000;36150.0000000;65
03.06.2021;0;36359.0000000;36359.0000000;35857.0000000;36209.0000000;85
04.06.2021;0;36221.0000000;36829.0000000;36085.0000000;36699.0000000;126
07.06.2021;0;36812.0000000;37157.0000000;36584.0000000;37157.0000000;292
08.06.2021;0;37072.0000000;37378.0000000;36787.0000000;36787.0000000;269
09.06.2021;0;36687.0000000;37354.0000000;36687.0000000;37221.0000000;149
10.06.2021;0;36979.0000000;38430.0000000;36837.0000000;38430.0000000;152
11.06.2021;0;38400.0000000;39126.0000000;38142.0000000;39126.0000000;342
14.06.2021;0;39100.0000000;40400.0000000;39100.0000000;40113.0000000;293
15.06.2021;0;39977.0000000;39981.0000000;39527.0000000;39578.0000000;156
16.06.2021;0;39460.0000000;39808.0000000;38992.0000000;39341.0000000;116
17.06.2021;0;39061.0000000;40982.0000000;38957.0000000;40982.0000000;490
