<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
22.10.2020;0;6062.0000000;6276.0000000;6020.0000000;6210.0000000;3784
23.10.2020;0;6149.0000000;6250.0000000;6060.0000000;6239.0000000;4433
26.10.2020;0;6328.0000000;6464.0000000;6194.0000000;6292.0000000;3412
27.10.2020;0;6292.0000000;6480.0000000;5853.0000000;6114.0000000;14389
28.10.2020;0;6158.0000000;6227.0000000;5981.0000000;6065.0000000;7189
29.10.2020;0;6189.0000000;6240.0000000;6048.0000000;6131.0000000;5591
30.10.2020;0;6128.0000000;6132.0000000;5904.0000000;5978.0000000;3611
02.11.2020;0;6015.0000000;6138.0000000;5955.0000000;5983.0000000;5179
03.11.2020;0;6020.0000000;6093.0000000;5944.0000000;6085.0000000;2639
05.11.2020;0;6400.0000000;6550.0000000;6311.0000000;6356.0000000;9048
06.11.2020;0;6356.0000000;6660.0000000;6356.0000000;6660.0000000;6144
09.11.2020;0;6665.0000000;6850.0000000;6300.0000000;6410.0000000;10157
10.11.2020;0;6410.0000000;6472.0000000;5957.0000000;5993.0000000;11592
11.11.2020;0;5993.0000000;6279.0000000;5958.0000000;6268.0000000;8032
12.11.2020;0;6268.0000000;6375.0000000;6216.0000000;6313.0000000;4632
13.11.2020;0;6390.0000000;6441.0000000;6251.0000000;6284.0000000;3957
16.11.2020;0;6287.0000000;6380.0000000;6170.0000000;6356.0000000;3115
17.11.2020;0;6372.0000000;6468.0000000;6337.0000000;6350.0000000;2432
18.11.2020;0;6300.0000000;6365.0000000;6192.0000000;6295.0000000;4461
19.11.2020;0;6244.0000000;6511.0000000;6243.0000000;6475.0000000;4075
20.11.2020;0;6440.0000000;6550.0000000;6438.0000000;6472.0000000;1693
23.11.2020;0;6478.0000000;6657.0000000;6426.0000000;6483.0000000;1600
24.11.2020;0;6503.0000000;6536.0000000;6335.0000000;6427.0000000;2303
25.11.2020;0;6443.0000000;6655.0000000;6405.0000000;6561.0000000;2255
27.11.2020;0;6573.0000000;6685.0000000;6569.0000000;6617.0000000;1654
30.11.2020;0;6735.0000000;7060.0000000;6593.0000000;7055.0000000;6503
01.12.2020;0;6853.0000000;7131.0000000;6853.0000000;7020.0000000;5017
02.12.2020;0;7004.0000000;7243.0000000;6943.0000000;7038.0000000;4203
03.12.2020;0;7020.0000000;7070.0000000;6855.0000000;6878.0000000;3061
04.12.2020;0;6859.0000000;6993.0000000;6730.0000000;6940.0000000;1472
07.12.2020;0;6919.0000000;7111.0000000;6846.0000000;6910.0000000;8394
08.12.2020;0;6906.0000000;6935.0000000;6750.0000000;6829.0000000;3521
09.12.2020;0;6855.0000000;6980.0000000;6584.0000000;6622.0000000;3240
10.12.2020;0;6622.0000000;6720.0000000;6490.0000000;6720.0000000;3062
11.12.2020;0;6653.0000000;6735.0000000;6609.0000000;6694.0000000;1034
14.12.2020;0;6660.0000000;7031.0000000;6660.0000000;7010.0000000;2949
15.12.2020;0;6989.0000000;7195.0000000;6952.0000000;7130.0000000;7069
16.12.2020;0;7120.0000000;7181.0000000;7040.0000000;7122.0000000;1710
17.12.2020;0;7248.0000000;7248.0000000;6920.0000000;7044.0000000;1755
18.12.2020;0;7099.0000000;7180.0000000;6878.0000000;6940.0000000;5230
21.12.2020;0;6980.0000000;7169.0000000;6846.0000000;6982.0000000;6097
22.12.2020;0;6982.0000000;7089.0000000;6867.0000000;7051.0000000;3236
23.12.2020;0;7000.0000000;7034.0000000;6860.0000000;6913.0000000;4120
24.12.2020;0;6913.0000000;6913.0000000;6780.0000000;6785.0000000;1660
28.12.2020;0;6837.0000000;6877.0000000;6715.0000000;6753.0000000;1935
29.12.2020;0;6791.0000000;6800.0000000;6636.0000000;6712.0000000;3464
30.12.2020;0;6712.0000000;6910.0000000;6695.0000000;6853.0000000;2245
04.01.2021;0;6832.0000000;7080.0000000;6720.0000000;6832.0000000;7216
05.01.2021;0;6834.0000000;6972.0000000;6780.0000000;6850.0000000;2961
06.01.2021;0;6791.0000000;6806.0000000;6611.0000000;6689.0000000;8415
08.01.2021;0;7000.0000000;7143.0000000;6916.0000000;7010.0000000;9918
11.01.2021;0;7029.0000000;7390.0000000;7014.0000000;7280.0000000;4327
12.01.2021;0;7282.0000000;7322.0000000;6927.0000000;6989.0000000;5335
13.01.2021;0;7022.0000000;7098.0000000;6700.0000000;6790.0000000;19867
