<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
18.11.2020;0;16351.0000000;16351.0000000;16111.0000000;16130.0000000;1038
19.11.2020;0;16126.0000000;16229.0000000;16050.0000000;16177.0000000;649
20.11.2020;0;16102.0000000;16260.0000000;16102.0000000;16109.0000000;597
23.11.2020;0;16037.0000000;16147.0000000;15900.0000000;16017.0000000;1497
24.11.2020;0;16064.0000000;16180.0000000;15851.0000000;16088.0000000;928
25.11.2020;0;16169.0000000;16300.0000000;16119.0000000;16180.0000000;495
27.11.2020;0;16246.0000000;16423.0000000;16242.0000000;16365.0000000;880
30.11.2020;0;16349.0000000;16403.0000000;16150.0000000;16287.0000000;1093
01.12.2020;0;16332.0000000;16450.0000000;16165.0000000;16397.0000000;934
02.12.2020;0;16397.0000000;16420.0000000;16073.0000000;16149.0000000;915
03.12.2020;0;16242.0000000;16243.0000000;15948.0000000;15964.0000000;1015
04.12.2020;0;15900.0000000;16077.0000000;15780.0000000;15797.0000000;1209
07.12.2020;0;15954.0000000;16081.0000000;15662.0000000;15724.0000000;1626
08.12.2020;0;15738.0000000;15928.0000000;15607.0000000;15898.0000000;1364
09.12.2020;0;15872.0000000;15909.0000000;15640.0000000;15672.0000000;976
10.12.2020;0;15600.0000000;15640.0000000;15400.0000000;15456.0000000;1293
11.12.2020;0;15375.0000000;15566.0000000;15307.0000000;15547.0000000;1431
14.12.2020;0;15567.0000000;15957.0000000;15520.0000000;15840.0000000;890
15.12.2020;0;15713.0000000;15861.0000000;15627.0000000;15700.0000000;375
16.12.2020;0;15750.0000000;16139.0000000;15700.0000000;16130.0000000;1114
17.12.2020;0;16033.0000000;16125.0000000;15890.0000000;15930.0000000;867
18.12.2020;0;16150.0000000;16175.0000000;15900.0000000;15942.0000000;1029
21.12.2020;0;16269.0000000;16731.0000000;16162.0000000;16613.0000000;3576
22.12.2020;0;16662.0000000;17010.0000000;16662.0000000;16976.0000000;2173
23.12.2020;0;17424.0000000;17424.0000000;16626.0000000;16700.0000000;872
24.12.2020;0;16547.0000000;16666.0000000;16393.0000000;16508.0000000;625
28.12.2020;0;16570.0000000;16675.0000000;16432.0000000;16616.0000000;2240
29.12.2020;0;16681.0000000;16743.0000000;16554.0000000;16640.0000000;782
30.12.2020;0;16600.0000000;16860.0000000;16499.0000000;16535.0000000;1105
04.01.2021;0;16556.0000000;16556.0000000;15975.0000000;16188.0000000;2148
05.01.2021;0;16256.0000000;16406.0000000;15980.0000000;16122.0000000;1914
06.01.2021;0;16122.0000000;16122.0000000;15675.0000000;15759.0000000;4455
08.01.2021;0;16168.0000000;16382.0000000;16114.0000000;16300.0000000;2482
11.01.2021;0;16249.0000000;16381.0000000;16212.0000000;16214.0000000;887
12.01.2021;0;16237.0000000;16237.0000000;15754.0000000;15842.0000000;1020
13.01.2021;0;15842.0000000;15978.0000000;15775.0000000;15978.0000000;1197
14.01.2021;0;16009.0000000;16009.0000000;15661.0000000;15662.0000000;1584
15.01.2021;0;15679.0000000;15767.0000000;15660.0000000;15710.0000000;1290
19.01.2021;0;15816.0000000;15999.0000000;15699.0000000;15932.0000000;1044
20.01.2021;0;15937.0000000;16590.0000000;15932.0000000;16550.0000000;2633
21.01.2021;0;16515.0000000;16726.0000000;16416.0000000;16680.0000000;1176
22.01.2021;0;16701.0000000;17260.0000000;16700.0000000;17089.0000000;2454
25.01.2021;0;17002.0000000;17371.0000000;17001.0000000;17250.0000000;5186
26.01.2021;0;17396.0000000;17583.0000000;17281.0000000;17500.0000000;2541
27.01.2021;0;18150.0000000;18200.0000000;17454.0000000;17604.0000000;6335
28.01.2021;0;17656.0000000;18419.0000000;17470.0000000;18169.0000000;2869
29.01.2021;0;18170.0000000;18170.0000000;17565.0000000;17646.0000000;1821
01.02.2021;0;17647.0000000;18450.0000000;17646.0000000;18298.0000000;1788
02.02.2021;0;18275.0000000;18375.0000000;18072.0000000;18356.0000000;1343
03.02.2021;0;18356.0000000;18576.0000000;18149.0000000;18549.0000000;2144
04.02.2021;0;18460.0000000;18526.0000000;18178.0000000;18221.0000000;1028
05.02.2021;0;18000.0000000;18274.0000000;16975.0000000;18034.0000000;882
08.02.2021;0;18121.0000000;18600.0000000;17917.0000000;17930.0000000;1483
09.02.2021;0;18025.0000000;18104.0000000;17875.0000000;18034.0000000;683
10.02.2021;0;18033.0000000;18125.0000000;17800.0000000;17881.0000000;882
11.02.2021;0;18024.0000000;18024.0000000;17863.0000000;17934.0000000;524
12.02.2021;0;18100.0000000;18175.0000000;17947.0000000;17983.0000000;618
16.02.2021;0;18183.0000000;18197.0000000;17888.0000000;17931.0000000;1003
17.02.2021;0;17972.0000000;17992.0000000;17811.0000000;17987.0000000;892
18.02.2021;0;17975.0000000;18009.0000000;17835.0000000;17992.0000000;453
19.02.2021;0;17941.0000000;18068.0000000;17818.0000000;17880.0000000;1387
22.02.2021;0;17811.0000000;18000.0000000;17277.0000000;17488.0000000;1526
24.02.2021;0;17621.0000000;17621.0000000;16917.0000000;17254.0000000;1777
25.02.2021;0;17652.0000000;17652.0000000;16900.0000000;17198.0000000;2105
26.02.2021;0;16959.0000000;17538.0000000;16800.0000000;17536.0000000;1763
01.03.2021;0;17125.0000000;17600.0000000;17125.0000000;17596.0000000;755
02.03.2021;0;17660.0000000;17660.0000000;17251.0000000;17354.0000000;879
03.03.2021;0;17414.0000000;17414.0000000;16850.0000000;16865.0000000;1069
04.03.2021;0;16727.0000000;17064.0000000;16605.0000000;16879.0000000;2729
05.03.2021;0;16852.0000000;17303.0000000;16714.0000000;17245.0000000;1336
09.03.2021;0;17100.0000000;17383.0000000;16951.0000000;17330.0000000;1032
10.03.2021;0;17401.0000000;17444.0000000;17105.0000000;17125.0000000;2013
11.03.2021;0;17283.0000000;17515.0000000;17278.0000000;17438.0000000;1187
12.03.2021;0;17843.0000000;17843.0000000;17140.0000000;17275.0000000;746
15.03.2021;0;17320.0000000;17320.0000000;16980.0000000;17136.0000000;1915
16.03.2021;0;17150.0000000;17472.0000000;17100.0000000;17346.0000000;1206
17.03.2021;0;17051.0000000;17527.0000000;17051.0000000;17437.0000000;1644
18.03.2021;0;17404.0000000;17480.0000000;17150.0000000;17169.0000000;1039
19.03.2021;0;17160.0000000;17256.0000000;17033.0000000;17086.0000000;563
22.03.2021;0;17288.0000000;17724.0000000;17201.0000000;17658.0000000;1193
23.03.2021;0;17734.0000000;18344.0000000;17730.0000000;18144.0000000;2494
24.03.2021;0;18160.0000000;18221.0000000;17970.0000000;18028.0000000;1257
25.03.2021;0;17978.0000000;18028.0000000;17674.0000000;17719.0000000;1032
26.03.2021;0;17533.0000000;17879.0000000;17533.0000000;17879.0000000;744
29.03.2021;0;17872.0000000;17958.0000000;17618.0000000;17830.0000000;1003
30.03.2021;0;17684.0000000;17800.0000000;17573.0000000;17625.0000000;499
31.03.2021;0;17625.0000000;18050.0000000;17510.0000000;17924.0000000;868
01.04.2021;0;18012.0000000;18500.0000000;18012.0000000;18462.0000000;1684
05.04.2021;0;18549.0000000;19094.0000000;18468.0000000;19019.0000000;4062
06.04.2021;0;19020.0000000;19246.0000000;18833.0000000;19175.0000000;824
07.04.2021;0;19175.0000000;19500.0000000;19174.0000000;19277.0000000;443
08.04.2021;0;19360.0000000;19505.0000000;19314.0000000;19500.0000000;539
09.04.2021;0;19486.0000000;19800.0000000;19477.0000000;19800.0000000;1119
12.04.2021;0;19972.0000000;20000.0000000;18990.0000000;19775.0000000;1435
13.04.2021;0;19847.0000000;19940.0000000;19553.0000000;19638.0000000;1021
14.04.2021;0;19673.0000000;19677.0000000;19360.0000000;19414.0000000;807
15.04.2021;0;19811.0000000;19900.0000000;19678.0000000;19780.0000000;1508
16.04.2021;0;19500.0000000;19750.0000000;19500.0000000;19746.0000000;238
19.04.2021;0;19977.0000000;19978.0000000;19698.0000000;19738.0000000;544
20.04.2021;0;19753.0000000;20296.0000000;19634.0000000;19794.0000000;250
21.04.2021;0;19775.0000000;19950.0000000;19743.0000000;19939.0000000;430
22.04.2021;0;19966.0000000;19966.0000000;19336.0000000;19413.0000000;620
23.04.2021;0;19344.0000000;19600.0000000;19253.0000000;19563.0000000;526
26.04.2021;0;19522.0000000;19638.0000000;19499.0000000;19586.0000000;409
27.04.2021;0;19729.0000000;19729.0000000;18843.0000000;19051.0000000;1885
28.04.2021;0;19249.0000000;19249.0000000;18899.0000000;18929.0000000;1513
29.04.2021;0;19039.0000000;19069.0000000;18570.0000000;18757.0000000;2491
30.04.2021;0;18797.0000000;18973.0000000;18718.0000000;18970.0000000;398
04.05.2021;0;18900.0000000;18900.0000000;18429.0000000;18564.0000000;1724
05.05.2021;0;18507.0000000;18668.0000000;18440.0000000;18464.0000000;660
06.05.2021;0;18499.0000000;18532.0000000;18265.0000000;18532.0000000;1029
07.05.2021;0;18629.0000000;18809.0000000;18474.0000000;18629.0000000;881
10.05.2021;0;18626.0000000;18658.0000000;18381.0000000;18412.0000000;882
11.05.2021;0;18381.0000000;18381.0000000;17998.0000000;18285.0000000;689
12.05.2021;0;18102.0000000;18249.0000000;17798.0000000;17937.0000000;1052
13.05.2021;0;17935.0000000;18154.0000000;17705.0000000;18010.0000000;1025
14.05.2021;0;18330.0000000;18424.0000000;18111.0000000;18410.0000000;815
17.05.2021;0;18409.0000000;18409.0000000;18010.0000000;18077.0000000;680
18.05.2021;0;18350.0000000;18350.0000000;17900.0000000;17990.0000000;797
19.05.2021;0;17910.0000000;17964.0000000;17628.0000000;17964.0000000;848
20.05.2021;0;18299.0000000;18299.0000000;17815.0000000;18153.0000000;667
21.05.2021;0;18225.0000000;18228.0000000;18023.0000000;18033.0000000;527
24.05.2021;0;18030.0000000;18453.0000000;17991.0000000;18450.0000000;622
25.05.2021;0;18500.0000000;18550.0000000;18400.0000000;18479.0000000;543
26.05.2021;0;18467.0000000;18608.0000000;18442.0000000;18451.0000000;344
27.05.2021;0;18434.0000000;18468.0000000;18325.0000000;18406.0000000;326
28.05.2021;0;18395.0000000;18500.0000000;18300.0000000;18300.0000000;233
01.06.2021;0;18367.0000000;18488.0000000;18175.0000000;18223.0000000;437
02.06.2021;0;18274.0000000;18278.0000000;18016.0000000;18117.0000000;528
03.06.2021;0;18138.0000000;18154.0000000;17799.0000000;18032.0000000;790
04.06.2021;0;17939.0000000;18318.0000000;17939.0000000;18271.0000000;373
